Day_interval,Date,Longitude,Latitude,Depth,Magnitude
0.0012037037037037036,2023-02-06T04:18:44,38.57,38.186,7.37,4.8
0.00537037037037037,2023-02-06T04:24:44,37.281,37.572,10.83,4.2
0.0065625,2023-02-06T04:26:27,38.867,38.492,8.77,2.9
0.007488425925925925,2023-02-06T04:27:47,37.811,37.881,9.4,3.7
0.008194444444444443,2023-02-06T04:28:48,38.888,39.988,13.56,3.8
0.009733796296296294,2023-02-06T04:31:01,36.787,37.305,7.0,4.0
0.009814814814814814,2023-02-06T04:31:08,37.963,37.877,9.28,4.1
0.009814814814814814,2023-02-06T04:31:08,37.939,37.908,7.0,3.7
0.01025462962962963,2023-02-06T04:31:46,40.911,39.194,7.14,2.6
0.012407407407407405,2023-02-06T04:34:52,38.621,38.285,9.73,2.7
0.014409722222222223,2023-02-06T04:37:45,38.455,38.098,7.03,3.6
0.015787037037037037,2023-02-06T04:39:44,37.749,37.841,10.65,4.7
0.017106481481481483,2023-02-06T04:41:38,38.511,38.109,7.01,3.3
0.017106481481481483,2023-02-06T04:41:38,38.526,38.104,7.0,3.3
0.017546296296296296,2023-02-06T04:42:16,38.608,38.114,7.01,3.7
0.01946759259259259,2023-02-06T04:45:02,37.058,37.509,6.32,4.1
0.020555555555555556,2023-02-06T04:46:36,38.2,38.008,7.85,3.7
0.021747685185185186,2023-02-06T04:48:19,38.639,38.243,7.0,2.9
0.026180555555555554,2023-02-06T04:54:42,37.238,37.443,7.0,3.6
0.02712962962962963,2023-02-06T04:56:04,37.219,37.467,10.14,4.4
0.02855324074074074,2023-02-06T04:58:07,37.374,37.59,6.43,3.9
0.029895833333333333,2023-02-06T05:00:03,37.878,37.736,5.91,3.0
0.03111111111111111,2023-02-06T05:01:48,37.891,37.887,11.67,4.7
0.03252314814814815,2023-02-06T05:03:50,37.445,37.72,23.67,3.9
0.034386574074074076,2023-02-06T05:06:31,36.608,37.088,7.1,3.5
0.035833333333333335,2023-02-06T05:08:36,36.869,37.361,7.97,4.2
0.03831018518518518,2023-02-06T05:12:10,36.705,37.17,7.82,3.6
0.03878472222222222,2023-02-06T05:12:51,37.22,37.518,5.05,4.0
0.04063657407407407,2023-02-06T05:15:31,36.041,36.309,7.0,3.1
0.041597222222222216,2023-02-06T05:16:54,37.773,37.854,12.4,4.4
0.04231481481481482,2023-02-06T05:17:56,38.464,38.107,7.0,4.1
0.04358796296296296,2023-02-06T05:19:46,38.393,38.089,12.05,4.2
0.044953703703703704,2023-02-06T05:21:44,37.222,37.508,12.32,3.7
0.045717592592592594,2023-02-06T05:22:50,38.473,38.114,13.59,4.4
0.04572916666666667,2023-02-06T05:22:51,37.301,37.568,18.55,3.8
0.047418981481481486,2023-02-06T05:25:17,37.132,37.471,20.37,3.6
0.048344907407407406,2023-02-06T05:26:37,38.082,38.855,9.28,3.3
0.05082175925925926,2023-02-06T05:30:11,38.407,37.977,7.0,3.3
0.05164351851851852,2023-02-06T05:31:22,38.327,38.113,8.31,4.1
0.05221064814814815,2023-02-06T05:32:11,38.254,38.008,13.44,3.7
0.05287037037037037,2023-02-06T05:33:08,38.335,38.099,12.21,4.3
0.055231481481481486,2023-02-06T05:36:32,36.143,36.339,13.07,4.5
0.057187499999999995,2023-02-06T05:39:21,37.919,37.851,5.73,3.6
0.058055555555555555,2023-02-06T05:40:36,38.172,37.985,7.05,4.2
0.05876157407407408,2023-02-06T05:41:37,37.71,37.859,12.62,3.5
